Finished creating model data!
Performing optimization, start time:  01:31:43 
Optimizing with theta = 1 
Optimizing with theta = 1.5 
Optimizing with theta = 2 
Optimizing with theta = 2.5 
Optimizing with theta = 3 
Optimizing with theta = 3.5 
Beginning optimization
Beginning optimization
Beginning optimization
Beginning optimization
Beginning optimization
Beginning optimization

iter           f        nrm_gr                     status          rad  CG iter                  CG result
  10   5459.341381   29.510972   Continuing - TR contract     0.097656        1         Intersect TR bound

iter           f        nrm_gr                     status          rad  CG iter                  CG result
  10   5459.341381   29.510972   Continuing - TR contract     0.097656        1         Intersect TR bound

iter           f        nrm_gr                     status          rad  CG iter                  CG result
  10   5459.341381   29.510972   Continuing - TR contract     0.097656        1         Intersect TR bound

iter           f        nrm_gr                     status          rad  CG iter                  CG result
  10   5459.341381   29.510972   Continuing - TR contract     0.097656        1         Intersect TR bound

iter           f        nrm_gr                     status          rad  CG iter                  CG result
  10   5459.341381   29.510972   Continuing - TR contract     0.097656        1         Intersect TR bound

iter           f        nrm_gr                     status          rad  CG iter                  CG result
  10   5459.341381   29.510972   Continuing - TR contract     0.097656        1         Intersect TR bound
  20   5459.338713  296.633451                 Continuing     0.000191        1         Intersect TR bound
  20   5459.338713  296.633451                 Continuing     0.000191        1         Intersect TR bound
  20   5459.338713  296.633451                 Continuing     0.000191        1         Intersect TR bound
  20   5459.338713  296.633451                 Continuing     0.000191        1         Intersect TR bound
  20   5459.338713  296.633451                 Continuing     0.000191        1         Intersect TR bound
  30   5459.338713  296.633451   Continuing - TR contract     0.000000        1         Intersect TR bound
  30   5459.338713  296.633451   Continuing - TR contract     0.000000        1         Intersect TR bound
  20   5459.338713  296.633451                 Continuing     0.000191        1         Intersect TR bound
  30   5459.338713  296.633451   Continuing - TR contract     0.000000        1         Intersect TR bound
  30   5459.338713  296.633451   Continuing - TR contract     0.000000        1         Intersect TR bound
  30   5459.338713  296.633451   Continuing - TR contract     0.000000        1         Intersect TR bound
  30   5459.338713  296.633451   Continuing - TR contract     0.000000        1         Intersect TR bound
  40   5459.327659   60.465015     Continuing - TR expand     0.003666        6         Intersect TR bound
  40   5459.331791   22.673618     Continuing - TR expand     0.001222        6         Intersect TR bound
  40   5459.327579   61.055160     Continuing - TR expand     0.003666        6         Intersect TR bound
  40   5459.330544  540.682619                 Continuing     0.001222        7         Intersect TR bound
  40   5459.327470   42.475738     Continuing - TR expand     0.003666        6         Intersect TR bound
  40   5459.327069   38.869138     Continuing - TR expand     0.003666        6         Intersect TR bound
  50   5459.331393   25.233190                 Continuing     0.000029        3         Intersect TR bound
  50   5459.318164   90.084685   Continuing - TR contract     0.000773        9         Intersect TR bound
  50   5459.319928  193.918469     Continuing - TR expand     0.001031        7         Intersect TR bound
  50   5459.326786   14.284485     Continuing - TR expand     0.000129        3         Intersect TR bound
  50   5459.309942   21.637057     Continuing - TR expand     0.000172        4         Intersect TR bound
  50   5459.326137   36.427370                 Continuing     0.000086        4         Intersect TR bound
  60   5459.314242   14.362682     Continuing - TR expand     0.000109        3         Intersect TR bound
  60   5459.281832  278.469146     Continuing - TR expand     0.015660        9         Intersect TR bound
  60   5459.246112  304.064710                 Continuing     0.005220       16         Intersect TR bound
  60   5459.270472  144.941843   Continuing - TR contract     0.000218        9         Intersect TR bound
  60   5459.320021  110.787631                 Continuing     0.000435        8         Intersect TR bound
  70   5459.267793  162.254445                 Continuing     0.000367        8         Intersect TR bound
  60   5459.303622  105.597541   Continuing - TR contract     0.000435       10         Intersect TR bound
  70   5458.795446  742.583162   Continuing - TR contract     0.009910       20         Intersect TR bound
  70   5459.231736   27.751587     Continuing - TR expand     0.000122        3         Intersect TR bound
  70   5459.300081  482.589682     Continuing - TR expand     0.003303        8         Intersect TR bound
  70   5459.147061  136.052733     Continuing - TR expand     0.039640       10         Intersect TR bound
  80   5458.641088   55.724262     Continuing - TR expand     0.008362       13         Intersect TR bound
  70   5459.276470  148.084083   Continuing - TR contract     0.000367       10         Intersect TR bound
  80   5459.176438  313.306001     Continuing - TR expand     0.033446        9         Intersect TR bound
  80   5459.192607   33.048145     Continuing - TR expand     0.003716       11         Intersect TR bound
  80   5459.296549   35.798954     Continuing - TR expand     0.000929        6         Intersect TR bound
  90   5458.639228   20.029172   Continuing - TR contract     0.000098        3         Intersect TR bound
  80   5458.904944  187.693308     Continuing - TR expand     0.016723       13         Intersect TR bound
  80   5459.270923   15.731682     Continuing - TR expand     0.000465        5         Intersect TR bound
  90   5458.982964   98.202326     Continuing - TR expand     0.002352        6         Intersect TR bound
  90   5459.113935  341.340652   Continuing - TR contract     0.000261        8         Intersect TR bound
  90   5458.734387  155.290927     Continuing - TR expand     0.001176        4         Intersect TR bound
 100   5458.908394  263.074932                 Continuing     0.000992       10         Intersect TR bound
 100   5458.540301  478.676906     Continuing - TR expand     0.053575       15         Intersect TR bound
  90   5459.236545  129.323614                 Continuing     0.000392        6         Intersect TR bound
  90   5459.232643  105.628484   Continuing - TR contract     0.002352       12         Intersect TR bound
 100   5459.055658  131.272081   Continuing - TR contract     0.000220        6         Intersect TR bound
 110   5458.494819   80.685404                 Continuing     0.001256       10         Intersect TR bound
 110   5459.048016    7.766013     Continuing - TR expand     0.000031        3         Intersect TR bound
 110   5458.815252  217.644804   Continuing - TR contract     0.000419       11         Intersect TR bound
 100   5459.206927  200.676336   Continuing - TR contract     0.000165        9         Intersect TR bound
 100   5458.691117 1511.022163   Continuing - TR contract     0.000165        8         Intersect TR bound
 100   5459.202447   58.528379     Continuing - TR expand     0.001984        8         Intersect TR bound
 120   5458.474369  111.660824     Continuing - TR expand     0.003178        8         Intersect TR bound
 120   5458.692412  238.370028   Continuing - TR contract     0.006357       16         Intersect TR bound
 120   5458.984479   61.680057     Continuing - TR expand     0.008476       12         Intersect TR bound
 110   5459.176798  203.980446   Continuing - TR contract     0.000419       12         Intersect TR bound
 110   5459.153502  228.968251   Continuing - TR contract     0.001116       12         Intersect TR bound
 110   5458.530809  262.062474                 Continuing     0.030136       14         Intersect TR bound
 130   5458.627387  270.780101   Continuing - TR contract     0.016091       17         Intersect TR bound
 130   5457.201617  748.790838   Continuing - TR contract     0.024136       31         Intersect TR bound
 130   5458.930820   34.703024     Continuing - TR expand     0.003576       10         Intersect TR bound
 120   5458.462876   57.634106     Continuing - TR expand     0.002119        6         Intersect TR bound
 120   5459.074462  804.863687                 Continuing     0.025427       17         Intersect TR bound
 120   5459.110155   65.108966     Continuing - TR expand     0.005650       11         Intersect TR bound
 140   5458.595167   85.256761   Continuing - TR contract     0.000566        2         Negative curvature
 140   5458.847273   96.589754     Continuing - TR expand     0.009051       14         Intersect TR bound
 140   5457.002598  260.580016     Continuing - TR expand     0.010182        9         Intersect TR bound
 130   5458.943329  359.721802   Continuing - TR contract     0.000596        7         Intersect TR bound
 130   5459.023939   53.484117   Continuing - TR contract     0.000795        9         Intersect TR bound
 130   5458.455963   54.890461     Continuing - TR expand     0.001788        8         Intersect TR bound
 150   5458.844512   43.884004                 Continuing     0.000035        3         Intersect TR bound
 150   5458.576719   75.238653     Continuing - TR expand     0.008591       11         Intersect TR bound
 150   5456.474666  939.980112   Continuing - TR contract     0.051548       25         Intersect TR bound
 140   5458.427685   61.803142   Continuing - TR contract     0.002263        5         Negative curvature
 160   5458.521199  217.287925   Continuing - TR contract     0.001812       15         Intersect TR bound
 160   5458.841068   33.171678     Continuing - TR expand     0.001074        4         Intersect TR bound
 140   5458.774104  421.181083   Continuing - TR contract     0.048272       38         Intersect TR bound
 140   5458.795654   94.373927   Continuing - TR contract     0.006034       24         Intersect TR bound
 160   5456.468070  204.231713   Continuing - TR contract     0.000101        9         Intersect TR bound
 150   5458.416414  231.607420   Continuing - TR contract     0.002864        9         Intersect TR bound
 170   5458.138561  296.088474     Continuing - TR expand     0.165139       16         Intersect TR bound
 150   5458.637089 1792.183920     Continuing - TR expand     0.006788        7         Intersect TR bound
 150   5458.784473   64.298044     Continuing - TR expand     0.002546        4         Intersect TR bound
 170   5458.682150  237.169381     Continuing - TR expand     0.048930       13         Intersect TR bound
 170   5456.459673   22.088525                 Continuing     0.000007        2         Intersect TR bound
 180   5457.413957  496.560974   Continuing - TR contract     0.001935       12         Intersect TR bound
 160   5458.309467   76.324395     Continuing - TR expand     0.004833       13         Intersect TR bound
 160   5458.750463  110.434965   Continuing - TR contract     0.000089        6         Intersect TR bound
 160   5458.631655   77.691778   Continuing - TR contract     0.000080        2         Negative curvature
 180   5457.451064  198.131223     Continuing - TR expand     0.371564       40         Intersect TR bound
 190   5457.340337   65.849617     Continuing - TR expand     0.000544        6         Intersect TR bound
 170   5458.609735   42.326407     Continuing - TR expand     0.007249        9         Intersect TR bound
 180   5456.24093113028.836271     Continuing - TR expand     0.139336       16         Intersect TR bound
 170   5457.492442  663.696859   Continuing - TR contract     0.012233       16         Intersect TR bound
 170   5458.746955  267.579478     Continuing - TR expand     0.000076        3         Intersect TR bound
 190   5457.451064  198.131223   Continuing - TR contract     0.000363        6         Intersect TR bound
 190   5455.954101  489.340127                 Continuing     0.003266       15         Intersect TR bound
 200   5456.646831  129.113853   Continuing - TR contract     0.049598        6         Negative curvature
 180   5458.529755  188.201541   Continuing - TR contract     0.003058       21         Intersect TR bound
 180   5457.358642  173.422043     Continuing - TR expand     0.010321       12         Intersect TR bound
 200   5456.117999 6641.708590     Continuing - TR expand     0.793564       50         Intersect TR bound
 180   5457.542821  760.120809   Continuing - TR contract     0.247709       54         Intersect TR bound
 210   5456.621148  229.646046     Continuing - TR expand     0.003487        6         Intersect TR bound
 190   5458.512681   25.321675     Continuing - TR expand     0.000430        2         Intersect TR bound
 190   5456.245884  343.785922   Continuing - TR contract     0.004354        7         Intersect TR bound
 200   5455.809122  125.798870     Continuing - TR expand     0.049598       14         Intersect TR bound
 190   5457.471775  127.004234   Continuing - TR contract     0.000484        5         Intersect TR bound
 210   5455.628641  514.184399   Continuing - TR contract     0.001550        6         Intersect TR bound
 220   5456.361330   82.718693     Continuing - TR expand     0.008827        8         Intersect TR bound
 200   5457.347103   58.631130   Continuing - TR contract     0.117565        9         Negative curvature
 210   5455.708958 5324.875553     Continuing - TR expand     0.062772       14         Intersect TR bound
 220   5455.565420   30.394959     Continuing - TR expand     0.000218        3         Intersect TR bound
 200   5455.205184  362.804006   Continuing - TR contract     0.066130        4         Negative curvature
 200   5457.175923  107.484371                 Continuing     0.014696       22         Intersect TR bound
 230   5455.303457  103.812323     Continuing - TR expand     0.067033        9         Intersect TR bound
 210   5456.934715  105.865929     Continuing - TR expand     0.049598        8         Intersect TR bound
 210   5455.165911  110.947940     Continuing - TR expand     0.004650        5         Intersect TR bound
 230   5454.474939  415.443289   Continuing - TR contract     0.019862       31         Intersect TR bound
 240   5454.446023  247.850063   Continuing - TR contract     0.028279        6         Negative curvature
 210   5456.947929  105.922000   Continuing - TR contract     0.012399       20         Intersect TR bound
 220   5450.067405  496.100410   Continuing - TR contract     0.158892       60         Intersect TR bound
 220   5456.486757   64.222097   Continuing - TR contract     0.003487       11         Intersect TR bound
 220   5454.923519   61.307989   Continuing - TR contract     0.000981        6         Intersect TR bound
 250   5454.337009   56.426641   Continuing - TR contract     0.005965       16         Intersect TR bound
 240   5454.282050   87.209528     Continuing - TR expand     0.050274       10         Intersect TR bound
 220   5456.857157   78.585150                 Continuing     0.001744        6         Intersect TR bound
 230   5449.630375   14.644470   Continuing - TR contract     0.011172       18         Intersect TR bound
 230   5456.320588  112.290221   Continuing - TR contract     0.052964        6         Negative curvature

iter           f        nrm_gr                     status          rad  CG iter                  CG result
 260   5453.795243   79.117021   Continuing - TR contract     0.007550        3         Negative curvature
 240   5449.626698 1131.768874     Continuing - TR expand     0.002357        7         Intersect TR bound
 230   5454.672539  288.720689   Continuing - TR contract     0.089377        5         Negative curvature
 240   5456.300720   45.630433     Continuing - TR expand     0.003724        6         Intersect TR bound
 250   5453.783582  116.461082     Continuing - TR expand     0.254514       39         Intersect TR bound
 240   5454.648521   46.489388     Continuing - TR expand     0.003142        6         Intersect TR bound
 230   5456.151175  230.802266   Continuing - TR contract     0.158892       45         Intersect TR bound
 270   5453.732313  236.417723     Continuing - TR expand     0.019110        8         Intersect TR bound
 250   5456.284045   30.406111     Continuing - TR expand     0.001571        6         Intersect TR bound
 250   5449.446598  107.171919     Continuing - TR expand     0.107373       25         Intersect TR bound

iter           f        nrm_gr                     status          rad  CG iter                  CG result
 260   5452.119808 3188.330530   Continuing - TR contract     0.017896       11         Intersect TR bound

iter           f        nrm_gr                     status          rad  CG iter                  CG result
 260   5449.443997   96.284494                 Continuing     0.000210        3         Intersect TR bound
 240   5455.428134  225.298559   Continuing - TR contract     0.001862        5         Intersect TR bound
 250   5453.566457  340.038053                 Continuing     0.095443       36         Intersect TR bound
 280   5453.282166  344.140102   Continuing - TR contract     0.145118       42         Intersect TR bound
 270   5451.884928   61.224139   Continuing - TR contract     0.045298       43         Intersect TR bound

iter           f        nrm_gr                     status          rad  CG iter                  CG result
 260   5455.883439  169.172835   Continuing - TR contract     0.011930       37         Intersect TR bound
 250   5455.393242   62.446042     Continuing - TR expand     0.000131        3         Intersect TR bound
 270   5449.300131  202.780845                 Continuing     0.038220       34         Intersect TR bound
 280   5451.788834   96.196471                 Continuing     0.019110       32         Intersect TR bound

iter           f        nrm_gr                     status          rad  CG iter                  CG result
