Finished creating model data!
Performing optimization, start time:  20:05:45 
Optimizing with theta = -0.9735946 
Optimizing with theta = -0.861179 
Beginning optimization
Beginning optimization

iter           f        nrm_gr                     status          rad  CG iter                  CG result
  10   5459.341381   29.510972   Continuing - TR contract     0.097656        1         Intersect TR bound

iter           f        nrm_gr                     status          rad  CG iter                  CG result
  10   5459.341381   29.510972   Continuing - TR contract     0.097656        1         Intersect TR bound
  20   5459.338713   34.274211                 Continuing     0.000191        1         Intersect TR bound
  20   5459.338713   34.274211                 Continuing     0.000191        1         Intersect TR bound
  30   5459.335576   84.834647                 Continuing     0.000322        4         Intersect TR bound
  30   5459.335581   85.047950                 Continuing     0.000322        4         Intersect TR bound
  40   5458.268970  577.409797     Continuing - TR expand     0.351959       12         Intersect TR bound
  40   5458.312132  777.587128     Continuing - TR expand     0.351959       12         Intersect TR bound
  50   5458.268970  577.409797   Continuing - TR contract     0.000344        6         Intersect TR bound
  50   5458.312132  777.587128   Continuing - TR contract     0.000344        6         Intersect TR bound
  60   5458.154260  214.627553                 Continuing     0.000870        8         Intersect TR bound
  60   5457.989048  236.284866   Continuing - TR contract     0.020880        2         Negative curvature
  70   5458.081089  109.910168   Continuing - TR contract     0.000184        5         Negative curvature
  70   5457.980856   19.034108     Continuing - TR expand     0.000245        3         Intersect TR bound
  80   5457.893442  106.184564   Continuing - TR contract     0.016723        8         Negative curvature
  80   5457.737709  146.380839     Continuing - TR expand     0.022298       10         Intersect TR bound
  90   5457.858767  105.703966     Continuing - TR expand     0.007055        7         Intersect TR bound
  90   5456.308526  831.730494   Continuing - TR contract     0.004703       11         Intersect TR bound
 100   5456.393095  504.587600   Continuing - TR contract     0.008929       11         Intersect TR bound
 100   5455.728711  263.341235                 Continuing     0.011905       11         Intersect TR bound
 110   5456.298751   44.865771   Continuing - TR contract     0.003767       10         Negative curvature
 110   5455.663023  102.831470     Continuing - TR expand     0.005023        5         Intersect TR bound
 120   5454.247101  892.334498     Continuing - TR expand     0.686530       11         Intersect TR bound
 120   5455.360569  382.065779     Continuing - TR expand     0.006357       10         Intersect TR bound
 130   5450.291220  873.470952   Continuing - TR contract     0.008045        8         Intersect TR bound
 130   5454.933085  181.916023   Continuing - TR contract     0.032181       11         Intersect TR bound
 140   5448.673742  129.457498     Continuing - TR expand     0.000566        1         Intersect TR bound
 150   5448.529268  305.261985   Continuing - TR contract     0.004296       11         Intersect TR bound
 140   5448.755075 1893.526106   Continuing - TR contract     0.488750       24         Intersect TR bound
 150   5448.755075 1893.526106   Continuing - TR contract     0.000477        2         Intersect TR bound
 160   5448.209314  175.600731   Continuing - TR contract     0.003624        8         Intersect TR bound
 160   5447.653629  219.082120     Continuing - TR expand     0.173974       18         Intersect TR bound
 170   5448.124840  145.081330     Continuing - TR expand     0.055046       11         Intersect TR bound
 170   5447.653629  219.082120   Continuing - TR contract     0.000170        2         Negative curvature
 180   5447.982173  170.176907   Continuing - TR contract     0.000645        2         Negative curvature
 180   5447.634400   37.915349   Continuing - TR contract     0.000072        1         Negative curvature
 190   5447.971658   29.754322   Continuing - TR contract     0.000272        4         Negative curvature
 190   5447.632613   21.967668     Continuing - TR expand     0.001089        5         Intersect TR bound
 200   5447.969437   22.336685     Continuing - TR expand     0.000689        7         Intersect TR bound
 200   5447.600099  110.267328   Continuing - TR contract     0.000230        8         Intersect TR bound
 210   5446.868874  526.799947     Continuing - TR expand     0.376633       14         Intersect TR bound
 210   5447.585173    9.533431   Continuing - TR contract     0.003487        2         Negative curvature
 220   5446.836679  131.992941                 Continuing     0.000736        3         Intersect TR bound
 220   5447.584185   32.606174     Continuing - TR expand     0.000245        2         Intersect TR bound
 230   5446.246040  735.205917                 Continuing     0.134065       19         Intersect TR bound
 230   5445.327133  163.535662   Continuing - TR contract     0.804391       35         Intersect TR bound
 240   5444.692595  851.727473   Continuing - TR contract     0.001571        7         Intersect TR bound
 240   5444.531871  229.562910   Continuing - TR contract     0.339352       61         Intersect TR bound
 250   5444.268128  126.723346     Continuing - TR expand     0.047721       12         Intersect TR bound
 250   5444.316938   40.063000   Continuing - TR contract     0.011930        7         Intersect TR bound

iter           f        nrm_gr                     status          rad  CG iter                  CG result
 260   5444.108049  112.861496   Continuing - TR contract     0.001678        7         Intersect TR bound

iter           f        nrm_gr                     status          rad  CG iter                  CG result
 260   5444.296624   61.516004   Continuing - TR contract     0.000839        5         Negative curvature
 270   5444.028767  211.899919   Continuing - TR contract     0.152881        6         Negative curvature
 270   5444.293211   13.738618     Continuing - TR expand     0.012740       11         Intersect TR bound
 280   5444.021038   18.825412     Continuing - TR expand     0.001792        5         Intersect TR bound
 280   5444.280241  236.198245   Continuing - TR contract     0.000149        6         Intersect TR bound
 290   5443.966731   16.061618   Continuing - TR contract     0.004535        6         Intersect TR bound
 290   5444.243037   45.292584   Continuing - TR contract     0.013605        5         Negative curvature
 300   5443.951754   20.828263     Continuing - TR expand     0.068874       16         Intersect TR bound
 300   5444.242593    4.060038     Continuing - TR expand     0.000159        6         Intersect TR bound
 310   5443.928982  124.118497   Continuing - TR contract     0.000404       12         Intersect TR bound
 310   5444.234252   38.640407   Continuing - TR contract     0.004843       16         Intersect TR bound
 320   5443.878948   69.947742   Continuing - TR contract     0.147097       24         Negative curvature
 320   5444.216593   53.668142   Continuing - TR contract     0.024516       17         Intersect TR bound
 330   5443.862595   20.724935   Continuing - TR contract     0.062057       24         Intersect TR bound
 330   5444.190950  131.642321   Continuing - TR contract     0.010343       24         Intersect TR bound
 340   5443.861669   27.245782     Continuing - TR expand     0.004363       10         Intersect TR bound
 350   5443.858510   57.134908   Continuing - TR contract     0.000153        6         Negative curvature
 340   5444.180678   27.414843   Continuing - TR contract     0.026180       26         Negative curvature
 350   5444.178183   51.051539   Continuing - TR contract     0.022090       24         Intersect TR bound
 360   5443.854513    3.488090     Continuing - TR expand     0.027957       14         Intersect TR bound
 370   5443.840333   20.564859     Continuing - TR expand     0.023589       18         Intersect TR bound
 360   5444.175890   16.872452     Continuing - TR expand     0.018638       20         Intersect TR bound
 380   5443.829848   20.052703   Continuing - TR contract     0.009952       24         Intersect TR bound
 370   5444.173461    4.134790     Continuing - TR expand     0.007863       18         Intersect TR bound
 390   5443.827210    5.746883                 Continuing     0.002799       12         Intersect TR bound
 380   5444.171453   12.984989     Continuing - TR expand     0.039806       28         Intersect TR bound
 400   5443.823599    9.425521   Continuing - TR contract     0.007085       30         Intersect TR bound
 390   5444.168755   23.235512   Continuing - TR contract     0.008397       31         Intersect TR bound
 410   5443.821686   13.778840   Continuing - TR contract     0.002989       26         Intersect TR bound
 400   5444.166736    6.549821     Continuing - TR expand     0.042508       31         Intersect TR bound
 420   5443.819688    5.463536     Continuing - TR expand     0.007565        6         Intersect TR bound
 410   5444.162784   17.585146   Continuing - TR contract     0.017933       43         Intersect TR bound
 430   5443.818644   16.580074     Continuing - TR expand     0.019150       20         Intersect TR bound
 420   5444.161225    3.273003   Continuing - TR contract     0.002522       30         Intersect TR bound
 440   5443.816924    4.805767   Continuing - TR contract     0.002693       24         Intersect TR bound
 430   5444.160594    3.616758   Continuing - TR contract     0.004256       37         Intersect TR bound
 450   5443.815832    2.936556     Continuing - TR expand     0.006817       17         Intersect TR bound
 440   5444.158593    5.409461     Continuing - TR expand     0.258526       67         Intersect TR bound
 460   5443.814756   21.582336   Continuing - TR contract     0.017255       31         Intersect TR bound
 470   5443.811959   16.427222   Continuing - TR contract     0.014559       26         Intersect TR bound
 450   5444.158593    5.409461   Continuing - TR contract     0.000252        9         Intersect TR bound
 480   5443.810755    3.272207   Continuing - TR contract     0.004095       24         Intersect TR bound
 460   5444.158502    3.618799                 Continuing     0.001278       13         Intersect TR bound
 470   5444.158160    1.733697   Continuing - TR contract     0.000270       10         Intersect TR bound
 490   5443.809212   14.648441   Continuing - TR contract     0.020729       41         Intersect TR bound
 500   5443.808541    2.018950   Continuing - TR contract     0.000729        8         Intersect TR bound
 480   5444.158077    4.742718   Continuing - TR contract     0.001365        4         Negative curvature
 490   5444.158074    0.355020     Continuing - TR expand     0.000016        6         Intersect TR bound

iter           f        nrm_gr                     status          rad  CG iter                  CG result
 510   5443.807876    9.809662   Continuing - TR contract     0.011068       44         Intersect TR bound
 500   5444.158072    0.193226     Continuing - TR expand     0.000243        8         Intersect TR bound
 520   5443.807750    4.010120   Continuing - TR contract     0.000778        4         Negative curvature
 530   5443.807747    0.176141     Continuing - TR expand     0.000027        7         Intersect TR bound

iter           f        nrm_gr                     status          rad  CG iter                  CG result
 510   5444.158050    1.351078     Continuing - TR expand     0.003689       17         Intersect TR bound
 540   5443.807698    2.736206                 Continuing     0.000831       14         Intersect TR bound
 550   5443.807462    0.464367     Continuing - TR expand     0.012621       22         Intersect TR bound
 560   5443.806570    0.269457   Continuing - TR contract     0.005325       57         Intersect TR bound
 520   5444.157321    0.341083   Continuing - TR contract     0.003113      406          Reached tolerance
 570   5443.806530    1.157628                 Continuing     0.000125       13         Intersect TR bound
 580   5443.806521    0.992441   Continuing - TR contract     0.000105       11         Negative curvature
 530   5444.157321    0.341083   Continuing - TR contract     0.000003        6         Intersect TR bound
 590   5443.806510    4.523930   Continuing - TR contract     0.000267       14         Intersect TR bound
 540   5444.157321    0.039511   Continuing - TR contract     0.000001       13         Intersect TR bound
 600   5443.806472    2.487211                 Continuing     0.000225       13         Intersect TR bound
 550   5444.157321    0.004862   Continuing - TR contract     0.000000        8         Intersect TR bound
 560   5444.157321    0.004862   Continuing - TR contract     0.000000        1         Intersect TR bound

Iteration has terminated
 560   5444.157321    0.004862Radius of trust region is less than stop.trust.radius

 610   5443.806003   10.585211   Continuing - TR contract     0.020493        6         Negative curvature
 620   5443.806003   10.585211   Continuing - TR contract     0.000020        5         Intersect TR bound
 630   5443.805922    0.128455   Continuing - TR contract     0.001824       45         Intersect TR bound
 640   5443.805915    0.605468     Continuing - TR expand     0.001539       18         Intersect TR bound
 650   5443.805901    1.217682   Continuing - TR contract     0.003895       27         Intersect TR bound
 660   5443.805878    2.492755   Continuing - TR contract     0.004929        7         Negative curvature
 670   5443.805878    2.492755   Continuing - TR contract     0.000005        7         Negative curvature
 680   5443.805867    0.640651     Continuing - TR expand     0.005264       24         Intersect TR bound
 690   5443.805867    0.323587     Continuing - TR expand     0.000062       12         Intersect TR bound
 700   5443.805865    0.760455                 Continuing     0.000312       16         Intersect TR bound
 710   5443.805855    0.746272     Continuing - TR expand     0.003162       29         Intersect TR bound
 720   5443.805823    0.016158   Continuing - TR contract     0.000889      366          Reached tolerance
 730   5443.805823    0.000131   Continuing - TR contract     0.000010      348          Reached tolerance
 740   5443.805823    0.000131   Continuing - TR contract     0.000000        4         Intersect TR bound
 750   5443.805823    0.000167   Continuing - TR contract     0.000000        5         Intersect TR bound

Iteration has terminated

iter           f        nrm_gr                     status
 752   5443.805823    0.000167Radius of trust region is less than stop.trust.radius

Optimizing with theta = -0.3727004 
Beginning optimization

iter           f        nrm_gr                     status          rad  CG iter                  CG result
  10   5459.341381   29.510972   Continuing - TR contract     0.097656        1         Intersect TR bound
  20   5459.338713   34.274211                 Continuing     0.000191        1         Intersect TR bound
  30   5459.335548   83.658436                 Continuing     0.000322        4         Intersect TR bound
  40   5459.147981  183.927214     Continuing - TR expand     0.058660        8         Intersect TR bound
  50   5458.757409  115.287364     Continuing - TR expand     0.012374       10         Intersect TR bound
  60   5458.475428  275.061489                 Continuing     0.000870        6         Intersect TR bound
  70   5458.450368   99.103338                 Continuing     0.000122        5         Intersect TR bound
  80   5458.379983   53.167951   Continuing - TR contract     0.003716        2         Negative curvature
  90   5458.378919   31.185559     Continuing - TR expand     0.000261        3         Intersect TR bound
 100   5458.357758   16.423777     Continuing - TR expand     0.000661        5         Intersect TR bound
 110   5457.744675  852.522870   Continuing - TR contract     0.010045        5         Negative curvature
 120   5457.562811   79.524071     Continuing - TR expand     0.025427        8         Intersect TR bound
 130   5454.013059  584.102302   Continuing - TR contract     0.064362       17         Intersect TR bound
 140   5453.200477  242.797981     Continuing - TR expand     0.081458        8         Intersect TR bound
 150   5452.641802   45.140331     Continuing - TR expand     0.017183       11         Intersect TR bound
 160   5452.364556  218.823109     Continuing - TR expand     0.086987       16         Intersect TR bound
 170   5450.891986 1325.682603   Continuing - TR contract     0.440372       17         Negative curvature
 180   5450.770293  706.330990   Continuing - TR contract     0.000860        9         Intersect TR bound
 190   5450.644209   60.711282   Continuing - TR contract     0.000060        2         Negative curvature
 200   5450.642777    5.372917     Continuing - TR expand     0.000153        2         Intersect TR bound
Optimizing with theta = -0.6601859 
Beginning optimization
 210   5450.517406  460.267345   Continuing - TR contract     0.006975        2         Negative curvature

iter           f        nrm_gr                     status          rad  CG iter                  CG result
  10   5459.341381   29.510972   Continuing - TR contract     0.097656        1         Intersect TR bound
  20   5459.338713   34.274211                 Continuing     0.000191        1         Intersect TR bound
 220   5450.470248   57.945540     Continuing - TR expand     0.008827        7         Intersect TR bound
  30   5459.335565   84.402234                 Continuing     0.000322        4         Intersect TR bound
 230   5448.273185  459.895845   Continuing - TR contract     0.067033       26         Intersect TR bound
 240   5447.430661  285.801913   Continuing - TR contract     0.004713        9         Intersect TR bound
  40   5459.158899  341.675774     Continuing - TR expand     0.058660        8         Intersect TR bound
  50   5458.789633  369.143274   Continuing - TR contract     0.000344        5         Intersect TR bound
