Finished creating model data!
Performing optimization, start time:  21:29:43 
Optimizing with theta = 6 
Beginning optimization

iter           f        nrm_gr                     status          rad     CG iter                  CG result
  10   2043.355704   19.635749   Continuing - TR contract     0.097656           1         Intersect TR bound
  20   2043.355704   19.635749   Continuing - TR contract     0.000095           1         Intersect TR bound
  30   2043.354571   56.582538   Continuing - TR contract     0.000000           1         Intersect TR bound
  40   2043.353963   14.581862     Continuing - TR expand     0.000364           3         Intersect TR bound
  50   2043.334491   22.983656     Continuing - TR expand     0.001137           5         Intersect TR bound
  60   2043.329117  331.644730     Continuing - TR expand     0.004441           6         Intersect TR bound
  70   2043.309056   75.668107                 Continuing     0.000173           4         Intersect TR bound
  80   2043.299686   26.355025   Continuing - TR contract     0.000034           3         Intersect TR bound
  90   2043.272942   72.818693   Continuing - TR contract     0.001323          13         Intersect TR bound
 100   2043.252699   32.487747   Continuing - TR contract     0.002585          15         Intersect TR bound
 110   2043.153371  312.794044   Continuing - TR contract     0.005049          24         Intersect TR bound
 120   2043.093832   59.912844   Continuing - TR contract     0.000986           5         Intersect TR bound
 130   2043.055707  139.313618                 Continuing     0.001541          12         Intersect TR bound
 140   2042.842170   89.413307   Continuing - TR contract     0.006019          18         Intersect TR bound
 150   2042.836146   29.248730     Continuing - TR expand     0.001175           3         Intersect TR bound
 160   2042.812865   18.445837   Continuing - TR contract     0.000459           5         Intersect TR bound
 170   2042.798877   50.207245   Continuing - TR contract     0.001794          10         Intersect TR bound
 180   2042.687636   54.525764   Continuing - TR contract     0.003503          21         Intersect TR bound
 190   2042.670144   22.853843   Continuing - TR contract     0.000068           3         Negative curvature
 200   2042.665543  129.284312   Continuing - TR contract     0.000134           8         Intersect TR bound
 210   2042.203252 8804.734054     Continuing - TR expand     0.522024          32         Intersect TR bound
 220   2042.203252 8804.734054   Continuing - TR contract     0.000510           5         Intersect TR bound
 230   2042.104626   49.819859   Continuing - TR contract     0.000996          10         Intersect TR bound
 240   2042.021640   29.375424     Continuing - TR expand     0.038894          21         Intersect TR bound
 250   2033.606908  231.799890   Continuing - TR contract     0.607716         165          Reached tolerance

iter           f        nrm_gr                     status          rad     CG iter                  CG result
 260   2033.333977  124.300817     Continuing - TR expand     0.011869           4         Intersect TR bound
 270   2032.940415   81.758499   Continuing - TR contract     0.009273          18         Intersect TR bound
 280   2032.683403  209.471987   Continuing - TR contract     0.009056          20         Intersect TR bound
 290   2032.504146   29.181474     Continuing - TR expand     0.035374          16         Intersect TR bound
 300   2031.683284  158.562017   Continuing - TR contract     0.006909          29         Intersect TR bound
 310   2031.563100   67.970507                 Continuing     0.005398          18         Intersect TR bound
 320   2030.891920  249.406433                 Continuing     0.021084          35         Intersect TR bound
 330   2030.517839   70.703551   Continuing - TR contract     0.004118          16         Intersect TR bound
 340   2029.794501  421.346226   Continuing - TR contract     0.160861         130         Intersect TR bound
 350   2029.302209 3482.594040   Continuing - TR contract     0.062836         107         Intersect TR bound
 360   2028.881007   73.660431     Continuing - TR expand     1.227273          79         Intersect TR bound
 370   2028.267031  225.653273   Continuing - TR contract     0.011985          30         Intersect TR bound
 380   2027.973854   14.709242     Continuing - TR expand     0.023408          33         Intersect TR bound
 390   2027.850495    7.605902   Continuing - TR contract     0.045719         118         Intersect TR bound
 400   2027.738736  179.688852   Continuing - TR contract     0.089296         157         Intersect TR bound
 410   2027.549841   35.400437   Continuing - TR contract     0.034881         158         Intersect TR bound
 420   2027.467901  600.711381   Continuing - TR contract     0.272509         188         Intersect TR bound
 430   2027.408744    9.748329   Continuing - TR contract     0.106449         195         Intersect TR bound
 440   2027.375379   35.042130     Continuing - TR expand     0.207908         133         Intersect TR bound
 450   2027.368586    5.822424   Continuing - TR contract     0.020304         162         Intersect TR bound
 460   2027.359049   46.527680     Continuing - TR expand     0.039655          76         Intersect TR bound
 470   2027.339163   12.991122     Continuing - TR expand     0.038726          68         Intersect TR bound
 480   2027.334466    3.801389   Continuing - TR contract     0.037818         184         Intersect TR bound
 490   2027.330966    6.354164   Continuing - TR contract     0.014773         157         Intersect TR bound
 500   2027.324257   15.376788                 Continuing     0.057706         135         Intersect TR bound

iter           f        nrm_gr                     status          rad     CG iter                  CG result
 510   2027.237345  141.050748   Continuing - TR contract     0.056354         247         Intersect TR bound
 520   2027.202712    2.825828   Continuing - TR contract     0.001101          10         Intersect TR bound
 530   2027.201692    2.796773   Continuing - TR contract     0.021497         173         Intersect TR bound
 540   2027.198697    1.279654     Continuing - TR expand     0.083973         135         Intersect TR bound
 550   2027.161357    6.426037     Continuing - TR expand     0.820053         224         Intersect TR bound
 560   2027.161357    6.426037   Continuing - TR contract     0.000801           8         Negative curvature
